Plate_ID,chem_ID,chem_M,cell_line,neg_control,pos_control,well
Plate1,O-22,1.425e-06,c2,C-1,C-2,H16
Plate1,O-22,2.613e-06,c2,C-1,C-2,H17
Plate1,O-22,4.513e-06,c2,C-1,C-2,H18
Plate1,O-22,8.075e-06,c2,C-1,C-2,H19
Plate1,O-22,1.473e-05,c2,C-1,C-2,H20
Plate1,O-22,2.684e-05,c2,C-1,C-2,H21
Plate1,O-22,4.869e-05,c2,C-1,C-2,H22
Plate1,C-1,NA,c2,C-1,C-2,H23
Plate1,C-1,NA,c2,C-1,C-2,H24
Plate1,C-1,NA,c2,C-1,C-2,I01
Plate1,O-46,2.375e-07,c2,C-1,C-2,I02
Plate1,O-46,4.75e-07,c2,C-1,C-2,I03
Plate1,O-46,7.125e-07,c2,C-1,C-2,I04
Plate1,O-46,1.425e-06,c2,C-1,C-2,I05
Plate1,O-46,2.613e-06,c2,C-1,C-2,I06
Plate1,O-46,4.513e-06,c2,C-1,C-2,I07
Plate1,O-46,8.075e-06,c2,C-1,C-2,I08
Plate1,O-46,1.473e-05,c2,C-1,C-2,I09
Plate1,O-46,2.684e-05,c2,C-1,C-2,I10
Plate1,O-46,4.869e-05,c2,C-1,C-2,I11
Plate1,C-1,NA,c2,C-1,C-2,I12
Plate1,O-46,2.375e-07,c2,C-1,C-2,I13
Plate1,O-46,4.75e-07,c2,C-1,C-2,I14
Plate1,O-46,7.125e-07,c2,C-1,C-2,I15
Plate1,O-46,1.425e-06,c2,C-1,C-2,I16
Plate1,O-46,2.613e-06,c2,C-1,C-2,I17
Plate1,O-46,4.513e-06,c2,C-1,C-2,I18
Plate1,O-46,8.075e-06,c2,C-1,C-2,I19
Plate1,O-46,1.473e-05,c2,C-1,C-2,I20
Plate1,O-46,2.684e-05,c2,C-1,C-2,I21
Plate1,O-46,4.869e-05,c2,C-1,C-2,I22
Plate1,C-1,NA,c2,C-1,C-2,I23
Plate1,C-1,NA,c2,C-1,C-2,I24
Plate1,C-1,NA,c2,C-1,C-2,J01
Plate1,O-97,2.375e-07,c2,C-1,C-2,J02
Plate1,O-97,4.75e-07,c2,C-1,C-2,J03
Plate1,O-97,7.125e-07,c2,C-1,C-2,J04
Plate1,O-97,1.425e-06,c2,C-1,C-2,J05
Plate1,O-97,2.613e-06,c2,C-1,C-2,J06
Plate1,O-97,4.513e-06,c2,C-1,C-2,J07
Plate1,O-97,8.075e-06,c2,C-1,C-2,J08
Plate1,O-97,1.473e-05,c2,C-1,C-2,J09
Plate1,O-97,2.684e-05,c2,C-1,C-2,J10
Plate1,O-97,4.869e-05,c2,C-1,C-2,J11
Plate1,C-1,NA,c2,C-1,C-2,J12
Plate1,O-97,2.375e-07,c2,C-1,C-2,J13
Plate1,O-97,4.75e-07,c2,C-1,C-2,J14
Plate1,O-97,7.125e-07,c2,C-1,C-2,J15
Plate1,O-97,1.425e-06,c2,C-1,C-2,J16
Plate1,O-97,2.613e-06,c2,C-1,C-2,J17
Plate1,O-97,4.513e-06,c2,C-1,C-2,J18
Plate1,O-97,8.075e-06,c2,C-1,C-2,J19
Plate1,O-97,1.473e-05,c2,C-1,C-2,J20
Plate1,O-97,2.684e-05,c2,C-1,C-2,J21
Plate1,O-97,4.869e-05,c2,C-1,C-2,J22
Plate1,C-1,NA,c2,C-1,C-2,J23
Plate1,C-1,NA,c2,C-1,C-2,J24
Plate1,C-1,NA,c2,C-1,C-2,K01
Plate1,O-19,2.375e-07,c2,C-1,C-2,K02
Plate1,O-19,4.75e-07,c2,C-1,C-2,K03
Plate1,O-19,7.125e-07,c2,C-1,C-2,K04
Plate1,O-19,1.425e-06,c2,C-1,C-2,K05
Plate1,O-19,2.613e-06,c2,C-1,C-2,K06
Plate1,O-19,4.513e-06,c2,C-1,C-2,K07
Plate1,O-19,8.075e-06,c2,C-1,C-2,K08
Plate1,O-19,1.473e-05,c2,C-1,C-2,K09
Plate1,O-19,2.684e-05,c2,C-1,C-2,K10
Plate1,O-19,4.869e-05,c2,C-1,C-2,K11
Plate1,C-1,NA,c2,C-1,C-2,K12
Plate1,O-19,2.375e-07,c2,C-1,C-2,K13
