plate,channel,row,col,value
Plate 2,Label2,15,8,545
Plate 2,Label2,15,9,430
Plate 2,Label2,15,10,310
Plate 2,Label2,15,11,345
Plate 2,Label2,15,12,375
Plate 2,Label2,15,13,445
Plate 2,Label2,15,14,465
Plate 2,Label2,15,15,460
Plate 2,Label2,15,16,405
Plate 2,Label2,15,17,430
Plate 2,Label2,15,18,420
Plate 2,Label2,15,19,395
Plate 2,Label2,15,20,465
Plate 2,Label2,15,21,515
Plate 2,Label2,15,22,365
Plate 2,Label2,15,23,460
Plate 2,Label2,15,24,380
Plate 2,Label2,16,1,485
Plate 2,Label2,16,2,310
Plate 2,Label2,16,3,475
Plate 2,Label2,16,4,370
Plate 2,Label2,16,5,220
Plate 2,Label2,16,6,335
Plate 2,Label2,16,7,320
Plate 2,Label2,16,8,355
Plate 2,Label2,16,9,220
Plate 2,Label2,16,10,395
Plate 2,Label2,16,11,310
Plate 2,Label2,16,12,240
Plate 2,Label2,16,13,340
Plate 2,Label2,16,14,350
Plate 2,Label2,16,15,250
Plate 2,Label2,16,16,265
Plate 2,Label2,16,17,325
Plate 2,Label2,16,18,405
Plate 2,Label2,16,19,430
Plate 2,Label2,16,20,320
Plate 2,Label2,16,21,265
Plate 2,Label2,16,22,400
Plate 2,Label2,16,23,320
Plate 2,Label2,16,24,275
Plate 1,Label2,1,1,655
Plate 1,Label2,1,2,440
Plate 1,Label2,1,3,420
Plate 1,Label2,1,4,330
Plate 1,Label2,1,5,275
Plate 1,Label2,1,6,535
Plate 1,Label2,1,7,305
Plate 1,Label2,1,8,275
Plate 1,Label2,1,9,475
Plate 1,Label2,1,10,460
Plate 1,Label2,1,11,490
Plate 1,Label2,1,12,395
Plate 1,Label2,1,13,360
Plate 1,Label2,1,14,490
Plate 1,Label2,1,15,390
Plate 1,Label2,1,16,355
Plate 1,Label2,1,17,285
Plate 1,Label2,1,18,230
Plate 1,Label2,1,19,350
Plate 1,Label2,1,20,380
Plate 1,Label2,1,21,400
Plate 1,Label2,1,22,435
Plate 1,Label2,1,23,275
Plate 1,Label2,1,24,350
Plate 1,Label2,2,1,445
Plate 1,Label2,2,2,530
Plate 1,Label2,2,3,505
Plate 1,Label2,2,4,400
Plate 1,Label2,2,5,525
Plate 1,Label2,2,6,530
Plate 1,Label2,2,7,640
Plate 1,Label2,2,8,690
Plate 1,Label2,2,9,790
Plate 1,Label2,2,10,980
Plate 1,Label2,2,11,1765
Plate 1,Label2,2,12,440
Plate 1,Label2,2,13,455
Plate 1,Label2,2,14,620
Plate 1,Label2,2,15,565
Plate 1,Label2,2,16,435
Plate 1,Label2,2,17,500
Plate 1,Label2,2,18,645
Plate 1,Label2,2,19,650
Plate 1,Label2,2,20,745
Plate 1,Label2,2,21,895
Plate 1,Label2,2,22,1310
Plate 1,Label2,2,23,485
Plate 1,Label2,2,24,315
Plate 1,Label2,3,1,475
Plate 1,Label2,3,2,655
Plate 1,Label2,3,3,645
Plate 1,Label2,3,4,645
Plate 1,Label2,3,5,585
Plate 1,Label2,3,6,580
Plate 1,Label2,3,7,695
Plate 1,Label2,3,8,675
Plate 1,Label2,3,9,725
Plate 1,Label2,3,10,1015
Plate 1,Label2,3,11,1140
Plate 1,Label2,3,12,550
Plate 1,Label2,3,13,515
Plate 1,Label2,3,14,520
Plate 1,Label2,3,15,400
Plate 1,Label2,3,16,705
Plate 1,Label2,3,17,580
Plate 1,Label2,3,18,525
Plate 1,Label2,3,19,755
Plate 1,Label2,3,20,615
Plate 1,Label2,3,21,970
Plate 1,Label2,3,22,1185
Plate 1,Label2,3,23,365
Plate 1,Label2,3,24,315
Plate 1,Label2,4,1,385
Plate 1,Label2,4,2,630
Plate 1,Label2,4,3,580
Plate 1,Label2,4,4,425
Plate 1,Label2,4,5,565
Plate 1,Label2,4,6,440
Plate 1,Label2,4,7,575
Plate 1,Label2,4,8,695
Plate 1,Label2,4,9,390
Plate 1,Label2,4,10,740
Plate 1,Label2,4,11,650
Plate 1,Label2,4,12,515
Plate 1,Label2,4,13,425
Plate 1,Label2,4,14,520
Plate 1,Label2,4,15,645
Plate 1,Label2,4,16,480
Plate 1,Label2,4,17,535
Plate 1,Label2,4,18,445
Plate 1,Label2,4,19,580
Plate 1,Label2,4,20,605
Plate 1,Label2,4,21,525
Plate 1,Label2,4,22,590
Plate 1,Label2,4,23,465
Plate 1,Label2,4,24,395
Plate 1,Label2,5,1,565
Plate 1,Label2,5,2,565
Plate 1,Label2,5,3,495
Plate 1,Label2,5,4,570
Plate 1,Label2,5,5,590
Plate 1,Label2,5,6,560
Plate 1,Label2,5,7,715
Plate 1,Label2,5,8,655
Plate 1,Label2,5,9,540
Plate 1,Label2,5,10,495
Plate 1,Label2,5,11,620
Plate 1,Label2,5,12,470
Plate 1,Label2,5,13,565
Plate 1,Label2,5,14,635
Plate 1,Label2,5,15,510
Plate 1,Label2,5,16,420
Plate 1,Label2,5,17,470
Plate 1,Label2,5,18,480
Plate 1,Label2,5,19,585
Plate 1,Label2,5,20,670
Plate 1,Label2,5,21,485
Plate 1,Label2,5,22,560
Plate 1,Label2,5,23,430
Plate 1,Label2,5,24,515
Plate 1,Label2,6,1,555
Plate 1,Label2,6,2,540
Plate 1,Label2,6,3,505
