plate,channel,row,col,value,Plate_ID,chem_ID,chem_M,cell_line,neg_control,pos_control,well
Plate 2,Label2,4,18,645,Plate2,O-41,4.513e-06,c2,C-1,C-2,D18
Plate 2,Label2,4,19,685,Plate2,O-41,8.075e-06,c2,C-1,C-2,D19
Plate 2,Label2,4,20,630,Plate2,O-41,1.473e-05,c2,C-1,C-2,D20
Plate 2,Label2,4,21,500,Plate2,O-41,2.684e-05,c2,C-1,C-2,D21
Plate 2,Label2,4,22,630,Plate2,O-41,4.869e-05,c2,C-1,C-2,D22
Plate 2,Label2,4,23,475,Plate2,C-1,NA,c2,C-1,C-2,D23
Plate 2,Label2,4,24,400,Plate2,C-1,NA,c2,C-1,C-2,D24
Plate 2,Label2,5,1,600,Plate2,C-1,NA,c2,C-1,C-2,E01
Plate 2,Label2,5,2,775,Plate2,O-20,2.375e-07,c2,C-1,C-2,E02
Plate 2,Label2,5,3,510,Plate2,O-20,4.75e-07,c2,C-1,C-2,E03
Plate 2,Label2,5,4,640,Plate2,O-20,7.125e-07,c2,C-1,C-2,E04
Plate 2,Label2,5,5,595,Plate2,O-20,1.425e-06,c2,C-1,C-2,E05
Plate 2,Label2,5,6,485,Plate2,O-20,2.613e-06,c2,C-1,C-2,E06
Plate 2,Label2,5,7,625,Plate2,O-20,4.513e-06,c2,C-1,C-2,E07
Plate 2,Label2,5,8,695,Plate2,O-20,8.075e-06,c2,C-1,C-2,E08
Plate 2,Label2,5,9,635,Plate2,O-20,1.473e-05,c2,C-1,C-2,E09
Plate 2,Label2,5,10,670,Plate2,O-20,2.684e-05,c2,C-1,C-2,E10
Plate 2,Label2,5,11,855,Plate2,O-20,4.869e-05,c2,C-1,C-2,E11
Plate 2,Label2,5,12,455,Plate2,C-1,NA,c2,C-1,C-2,E12
Plate 2,Label2,5,13,650,Plate2,O-20,2.375e-07,c2,C-1,C-2,E13
Plate 2,Label2,5,14,485,Plate2,O-20,4.75e-07,c2,C-1,C-2,E14
Plate 2,Label2,5,15,445,Plate2,O-20,7.125e-07,c2,C-1,C-2,E15
Plate 2,Label2,5,16,530,Plate2,O-20,1.425e-06,c2,C-1,C-2,E16
Plate 2,Label2,5,17,450,Plate2,O-20,2.613e-06,c2,C-1,C-2,E17
Plate 2,Label2,5,18,405,Plate2,O-20,4.513e-06,c2,C-1,C-2,E18
Plate 2,Label2,5,19,670,Plate2,O-20,8.075e-06,c2,C-1,C-2,E19
Plate 2,Label2,5,20,410,Plate2,O-20,1.473e-05,c2,C-1,C-2,E20
Plate 2,Label2,5,21,475,Plate2,O-20,2.684e-05,c2,C-1,C-2,E21
Plate 2,Label2,5,22,925,Plate2,O-20,4.869e-05,c2,C-1,C-2,E22
Plate 2,Label2,5,23,570,Plate2,C-1,NA,c2,C-1,C-2,E23
Plate 2,Label2,5,24,370,Plate2,C-1,NA,c2,C-1,C-2,E24
Plate 2,Label2,6,1,365,Plate2,C-1,NA,c2,C-1,C-2,F01
Plate 2,Label2,6,2,655,Plate2,O-63,2.375e-07,c2,C-1,C-2,F02
Plate 2,Label2,6,3,530,Plate2,O-63,4.75e-07,c2,C-1,C-2,F03
Plate 2,Label2,6,4,485,Plate2,O-63,7.125e-07,c2,C-1,C-2,F04
Plate 2,Label2,6,5,555,Plate2,O-63,1.425e-06,c2,C-1,C-2,F05
Plate 2,Label2,6,6,625,Plate2,O-63,2.613e-06,c2,C-1,C-2,F06
Plate 2,Label2,6,7,355,Plate2,O-63,4.513e-06,c2,C-1,C-2,F07
Plate 2,Label2,6,8,535,Plate2,O-63,8.075e-06,c2,C-1,C-2,F08
Plate 2,Label2,6,9,520,Plate2,O-63,1.473e-05,c2,C-1,C-2,F09
Plate 2,Label2,6,10,580,Plate2,O-63,2.684e-05,c2,C-1,C-2,F10
Plate 2,Label2,6,11,780,Plate2,O-63,4.869e-05,c2,C-1,C-2,F11
Plate 2,Label2,6,12,560,Plate2,C-1,NA,c2,C-1,C-2,F12
Plate 2,Label2,6,13,485,Plate2,O-63,2.375e-07,c2,C-1,C-2,F13
Plate 2,Label2,6,14,445,Plate2,O-63,4.75e-07,c2,C-1,C-2,F14
Plate 2,Label2,6,15,505,Plate2,O-63,7.125e-07,c2,C-1,C-2,F15
Plate 2,Label2,6,16,690,Plate2,O-63,1.425e-06,c2,C-1,C-2,F16
Plate 2,Label2,6,17,560,Plate2,O-63,2.613e-06,c2,C-1,C-2,F17
Plate 2,Label2,6,18,510,Plate2,O-63,4.513e-06,c2,C-1,C-2,F18
Plate 2,Label2,6,19,530,Plate2,O-63,8.075e-06,c2,C-1,C-2,F19
Plate 2,Label2,6,20,370,Plate2,O-63,1.473e-05,c2,C-1,C-2,F20
Plate 2,Label2,6,21,605,Plate2,O-63,2.684e-05,c2,C-1,C-2,F21
Plate 2,Label2,6,22,535,Plate2,O-63,4.869e-05,c2,C-1,C-2,F22
Plate 2,Label2,6,23,505,Plate2,C-1,NA,c2,C-1,C-2,F23
Plate 2,Label2,6,24,440,Plate2,C-1,NA,c2,C-1,C-2,F24
Plate 2,Label2,7,1,580,Plate2,C-1,NA,c2,C-1,C-2,G01
Plate 2,Label2,7,2,490,Plate2,O-93,2.375e-07,c2,C-1,C-2,G02
Plate 2,Label2,7,3,635,Plate2,O-93,4.75e-07,c2,C-1,C-2,G03
Plate 2,Label2,7,4,475,Plate2,O-93,7.125e-07,c2,C-1,C-2,G04
Plate 2,Label2,7,5,620,Plate2,O-93,1.425e-06,c2,C-1,C-2,G05
Plate 2,Label2,7,6,620,Plate2,O-93,2.613e-06,c2,C-1,C-2,G06
Plate 2,Label2,7,7,625,Plate2,O-93,4.513e-06,c2,C-1,C-2,G07
Plate 2,Label2,7,8,575,Plate2,O-93,8.075e-06,c2,C-1,C-2,G08
Plate 2,Label2,7,9,640,Plate2,O-93,1.473e-05,c2,C-1,C-2,G09
Plate 2,Label2,7,10,805,Plate2,O-93,2.684e-05,c2,C-1,C-2,G10
Plate 2,Label2,7,11,760,Plate2,O-93,4.869e-05,c2,C-1,C-2,G11
Plate 2,Label2,7,12,425,Plate2,C-1,NA,c2,C-1,C-2,G12
Plate 2,Label2,7,13,545,Plate2,O-93,2.375e-07,c2,C-1,C-2,G13
Plate 2,Label2,7,14,420,Plate2,O-93,4.75e-07,c2,C-1,C-2,G14
Plate 2,Label2,7,15,450,Plate2,O-93,7.125e-07,c2,C-1,C-2,G15
Plate 2,Label2,7,16,565,Plate2,O-93,1.425e-06,c2,C-1,C-2,G16
Plate 2,Label2,7,17,380,Plate2,O-93,2.613e-06,c2,C-1,C-2,G17
Plate 2,Label2,7,18,550,Plate2,O-93,4.513e-06,c2,C-1,C-2,G18
Plate 2,Label2,7,19,550,Plate2,O-93,8.075e-06,c2,C-1,C-2,G19
Plate 2,Label2,7,20,480,Plate2,O-93,1.473e-05,c2,C-1,C-2,G20
Plate 2,Label2,7,21,540,Plate2,O-93,2.684e-05,c2,C-1,C-2,G21
Plate 2,Label2,7,22,740,Plate2,O-93,4.869e-05,c2,C-1,C-2,G22
Plate 2,Label2,7,23,410,Plate2,C-1,NA,c2,C-1,C-2,G23
Plate 2,Label2,7,24,440,Plate2,C-1,NA,c2,C-1,C-2,G24
Plate 2,Label2,8,1,520,Plate2,C-1,NA,c2,C-1,C-2,H01
Plate 2,Label2,8,2,540,Plate2,O-32,2.375e-07,c2,C-1,C-2,H02
Plate 2,Label2,8,3,675,Plate2,O-32,4.75e-07,c2,C-1,C-2,H03
Plate 2,Label2,8,4,565,Plate2,O-32,7.125e-07,c2,C-1,C-2,H04
Plate 2,Label2,8,5,560,Plate2,O-32,1.425e-06,c2,C-1,C-2,H05
Plate 2,Label2,8,6,660,Plate2,O-32,2.613e-06,c2,C-1,C-2,H06
Plate 2,Label2,8,7,440,Plate2,O-32,4.513e-06,c2,C-1,C-2,H07
Plate 2,Label2,8,8,610,Plate2,O-32,8.075e-06,c2,C-1,C-2,H08
Plate 2,Label2,8,9,545,Plate2,O-32,1.473e-05,c2,C-1,C-2,H09
Plate 2,Label2,8,10,655,Plate2,O-32,2.684e-05,c2,C-1,C-2,H10
Plate 2,Label2,8,11,560,Plate2,O-32,4.869e-05,c2,C-1,C-2,H11
Plate 2,Label2,8,12,420,Plate2,C-1,NA,c2,C-1,C-2,H12
Plate 2,Label2,8,13,660,Plate2,O-32,2.375e-07,c2,C-1,C-2,H13
Plate 2,Label2,8,14,380,Plate2,O-32,4.75e-07,c2,C-1,C-2,H14
Plate 2,Label2,8,15,440,Plate2,O-32,7.125e-07,c2,C-1,C-2,H15
Plate 2,Label2,8,16,735,Plate2,O-32,1.425e-06,c2,C-1,C-2,H16
Plate 2,Label2,8,17,590,Plate2,O-32,2.613e-06,c2,C-1,C-2,H17
Plate 2,Label2,8,18,540,Plate2,O-32,4.513e-06,c2,C-1,C-2,H18
Plate 2,Label2,8,19,500,Plate2,O-32,8.075e-06,c2,C-1,C-2,H19
Plate 2,Label2,8,20,500,Plate2,O-32,1.473e-05,c2,C-1,C-2,H20
Plate 2,Label2,8,21,520,Plate2,O-32,2.684e-05,c2,C-1,C-2,H21
Plate 2,Label2,8,22,490,Plate2,O-32,4.869e-05,c2,C-1,C-2,H22
Plate 2,Label2,8,23,570,Plate2,C-1,NA,c2,C-1,C-2,H23
Plate 2,Label2,8,24,420,Plate2,C-1,NA,c2,C-1,C-2,H24
Plate 2,Label2,9,2,505,Plate2,O-39,2.375e-07,c2,C-1,C-2,I02
Plate 2,Label2,9,3,455,Plate2,O-39,4.75e-07,c2,C-1,C-2,I03
Plate 2,Label2,9,4,635,Plate2,O-39,7.125e-07,c2,C-1,C-2,I04
Plate 2,Label2,9,5,575,Plate2,O-39,1.425e-06,c2,C-1,C-2,I05
Plate 2,Label2,9,6,665,Plate2,O-39,2.613e-06,c2,C-1,C-2,I06
Plate 2,Label2,9,7,565,Plate2,O-39,4.513e-06,c2,C-1,C-2,I07
Plate 2,Label2,9,8,745,Plate2,O-39,8.075e-06,c2,C-1,C-2,I08
Plate 2,Label2,9,9,765,Plate2,O-39,1.473e-05,c2,C-1,C-2,I09
Plate 2,Label2,9,10,890,Plate2,O-39,2.684e-05,c2,C-1,C-2,I10
Plate 2,Label2,9,11,915,Plate2,O-39,4.869e-05,c2,C-1,C-2,I11
Plate 2,Label2,9,12,435,Plate2,C-1,NA,c2,C-1,C-2,I12
Plate 2,Label2,9,13,545,Plate2,O-39,2.375e-07,c2,C-1,C-2,I13
Plate 2,Label2,9,14,505,Plate2,O-39,4.75e-07,c2,C-1,C-2,I14
Plate 2,Label2,9,15,380,Plate2,O-39,7.125e-07,c2,C-1,C-2,I15
Plate 2,Label2,9,16,465,Plate2,O-39,1.425e-06,c2,C-1,C-2,I16
Plate 2,Label2,9,17,450,Plate2,O-39,2.613e-06,c2,C-1,C-2,I17
Plate 2,Label2,9,18,575,Plate2,O-39,4.513e-06,c2,C-1,C-2,I18
Plate 2,Label2,9,19,515,Plate2,O-39,8.075e-06,c2,C-1,C-2,I19
Plate 2,Label2,9,20,665,Plate2,O-39,1.473e-05,c2,C-1,C-2,I20
Plate 2,Label2,9,21,735,Plate2,O-39,2.684e-05,c2,C-1,C-2,I21
Plate 2,Label2,9,22,730,Plate2,O-39,4.869e-05,c2,C-1,C-2,I22
Plate 2,Label2,9,23,490,Plate2,C-1,NA,c2,C-1,C-2,I23
Plate 2,Label2,9,24,360,Plate2,C-1,NA,c2,C-1,C-2,I24
Plate 2,Label2,10,1,520,Plate2,C-1,NA,c2,C-1,C-2,J01
Plate 2,Label2,10,2,580,Plate2,O-59,2.375e-07,c2,C-1,C-2,J02
Plate 2,Label2,10,3,560,Plate2,O-59,4.75e-07,c2,C-1,C-2,J03
Plate 2,Label2,10,4,460,Plate2,O-59,7.125e-07,c2,C-1,C-2,J04
Plate 2,Label2,10,5,395,Plate2,O-59,1.425e-06,c2,C-1,C-2,J05
Plate 2,Label2,10,6,515,Plate2,O-59,2.613e-06,c2,C-1,C-2,J06
Plate 2,Label2,10,7,455,Plate2,O-59,4.513e-06,c2,C-1,C-2,J07
Plate 2,Label2,10,8,485,Plate2,O-59,8.075e-06,c2,C-1,C-2,J08
Plate 2,Label2,10,9,475,Plate2,O-59,1.473e-05,c2,C-1,C-2,J09
Plate 2,Label2,10,10,610,Plate2,O-59,2.684e-05,c2,C-1,C-2,J10
Plate 2,Label2,10,11,545,Plate2,O-59,4.869e-05,c2,C-1,C-2,J11
Plate 2,Label2,10,12,415,Plate2,C-1,NA,c2,C-1,C-2,J12
Plate 2,Label2,10,13,370,Plate2,O-59,2.375e-07,c2,C-1,C-2,J13
Plate 2,Label2,10,14,575,Plate2,O-59,4.75e-07,c2,C-1,C-2,J14
Plate 2,Label2,10,15,450,Plate2,O-59,7.125e-07,c2,C-1,C-2,J15
Plate 2,Label2,10,16,380,Plate2,O-59,1.425e-06,c2,C-1,C-2,J16
Plate 2,Label2,10,17,550,Plate2,O-59,2.613e-06,c2,C-1,C-2,J17
Plate 2,Label2,10,18,565,Plate2,O-59,4.513e-06,c2,C-1,C-2,J18
Plate 2,Label2,10,19,445,Plate2,O-59,8.075e-06,c2,C-1,C-2,J19
Plate 2,Label2,10,20,530,Plate2,O-59,1.473e-05,c2,C-1,C-2,J20
Plate 2,Label2,10,21,680,Plate2,O-59,2.684e-05,c2,C-1,C-2,J21
Plate 2,Label2,10,22,565,Plate2,O-59,4.869e-05,c2,C-1,C-2,J22
Plate 2,Label2,10,23,575,Plate2,C-1,NA,c2,C-1,C-2,J23
Plate 2,Label2,10,24,350,Plate2,C-1,NA,c2,C-1,C-2,J24
Plate 2,Label2,11,1,495,Plate2,C-1,NA,c2,C-1,C-2,K01
Plate 2,Label2,11,2,420,Plate2,O-22,2.375e-07,c2,C-1,C-2,K02
